time,email,name,company,job_title,linkedin_url,website,bio,class,country,city,school,education_program,status,accessibility
2023-08-22 19:13:16,aya.vanleeuwen0@example.com,Aya Van Leeuwen,Heijmans,Research Scientist,,,,V6A,Frankrijk,Twente,Delft University of Technology,Economie & Business,Afgestudeert vwo/havo,Yes
2023-05-28 13:10:44,white.j1@example.com,Julia White,Brekke,,https://linkedin.com/in/julia-white-1,,,V6C,Engeland,Delft,Leiden University,Rechten,Afgestudeert vwo/havo,No
2025-10-01 15:05:07,ryan2@example.com,Ryan Moore,,,https://linkedin.com/in/ryan-moore-2,,,V6B,Nederland,Eindhoven,Leiden University,Computer Science,bezig met masters,No
2026-09-23 11:07:33,ali3@example.com,Ali Postma,,,,,Innovative thinker and professional with a track record in blockchain technology. Alumni of Leiden University.,V6B,Duitsland,Den Haag,Leiden University,Gezondheidszorg & Geneeskunde,Afgestudeert vwo/havo,No
2023-07-13 21:10:21,vanderzanden.m4@example.com,Max Van der Zanden,Arcadis,Sales Representative,https://linkedin.com/in/max-van-der-zanden-4,https://maxvanderzanden4.com,,V6B,Engeland,Delft,Delft University of Technology,Rechten,bezig met masters,No
2022-01-19 07:09:23,youssefv5@example.com,Youssef Van der Zwan,Heijmans,,https://linkedin.com/in/youssef-van-der-zwan-5,,"Experienced professional dedicated to improving accessibility. Alumni of Leiden University, class of 2022.",V6B,Frankrijk,Twente,Leiden University,Rechten,Afgestudeert vwo/havo,No
2024-03-02 10:08:13,mulder.b6@example.com,Boaz Mulder,Cloudflare,Partner,,https://boazmulder6.com,,V6C,Nederland,Eindhoven,Leiden University,Computer Science,bezig met bachelors,Yes
2023-05-21 23:13:33,jens7@example.com,Jens Peters,,Professor,https://linkedin.com/in/jens-peters-7,,,V6C,Frankrijk,Amsterdam,Vrije University Amsterdam,Gezondheidszorg & Geneeskunde,bezig met bachelors,Yes
2026-12-27 18:06:04,sem.gonzalez8@example.com,Sem Gonzalez,Freelance,,,,,V6A,Verenigde Staten,Twente,Vrije University Amsterdam,Rechten,bezig met bachelors,No
2026-01-23 20:44:35,yara9@example.com,Yara White,,Translator,https://linkedin.com/in/yara-white-9,,,V6C,Frankrijk,Den Haag,Vrije University Amsterdam,Rechten,Afgestudeert vwo/havo,Yes
2022-09-13 22:09:51,oliver.verbeek10@example.com,Oliver Verbeek,Brekke,Paralegal,https://linkedin.com/in/oliver-verbeek-10,,,V6C,Frankrijk,Twente,Erasmus University Rotterdam,Talen & Cultuur,bezig met bachelors,Yes
2024-04-18 04:13:44,vanderhorst.s11@example.com,Sven Van der Horst,,Project Manager,https://linkedin.com/in/sven-van-der-horst-11,,,V6A,Verenigde Staten,Den Haag,Erasmus University Rotterdam,Bèta & Techniek,bezig met bachelors,Yes
2022-06-01 14:59:40,finn.white12@example.com,Finn White,,,,,,V6B,Engeland,Den Haag,Eindhoven University of Technology,Economie & Business,Afgestudeert vwo/havo,No
2025-07-15 06:54:18,maas.h13@example.com,Hugo Maas,Freelance,Social Media Manager,https://linkedin.com/in/hugo-maas-13,https://hugomaas13.com,Detail-oriented professional with a background in Gezondheidszorg & Geneeskunde. Currently social media manager at Freelance.,V6C,Frankrijk,Amsterdam,University of Twente,Gezondheidszorg & Geneeskunde,Afgestudeert vwo/havo,Yes
2026-03-21 07:50:01,liv.mulder14@example.com,Liv Mulder,VolkerWessels,Junior Analyst,https://linkedin.com/in/liv-mulder-14,,Results-oriented junior analyst with 0 years of experience in biomedical research. Based in Twente.,V6C,Nederland,Twente,University of Twente,Bèta & Techniek,bezig met masters,No
2026-12-08 11:23:33,william15@example.com,William Thompson,TomTom,,,,,V6A,Frankrijk,Den Haag,Vrije University Amsterdam,Gezondheidszorg & Geneeskunde,Afgestudeert vwo/havo,No
2026-02-22 03:41:02,verhoeven.j16@example.com,Jesse Verhoeven,,,https://linkedin.com/in/jesse-verhoeven-16,,,V6C,Frankrijk,Amsterdam,University of Twente,Bèta & Techniek,bezig met bachelors,Yes
2026-01-18 02:55:06,charlotteh17@example.com,Charlotte Hernandez,Ahold Delhaize,,https://linkedin.com/in/charlotte-hernandez-17,,,V6B,Frankrijk,Twente,Leiden University,Economie & Business,Afgestudeert vwo/havo,No
2024-01-17 05:52:23,gabriel18@example.com,Gabriel Brouwer,Palantir,Trader,https://linkedin.com/in/gabriel-brouwer-18,https://gabrielbrouwer18.com,,V6C,Verenigde Staten,Eindhoven,Delft University of Technology,Gezondheidszorg & Geneeskunde,bezig met masters,Yes
2023-12-26 00:50:46,avas19@example.com,Ava Schouten,Deloitte,Associate,,,,V6C,Verenigde Staten,Den Haag,Erasmus University Rotterdam,Rechten,bezig met bachelors,Yes
2024-04-18 04:46:07,stijn20@example.com,Stijn Van der Heijden,Deloitte,DevOps Engineer,,,,V6B,Duitsland,Delft,Erasmus University Rotterdam,Rechten,Afgestudeert vwo/havo,Yes
2024-07-17 14:48:30,ahmed21@example.com,Ahmed Rodriguez,,Architect,https://linkedin.com/in/ahmed-rodriguez-21,,,V6B,Nederland,Amsterdam,Vrije University Amsterdam,Talen & Cultuur,bezig met bachelors,No
2025-09-15 15:13:09,lara22@example.com,Lara Van der Veen,SpaceX,CEO,,,,V6C,Verenigde Staten,Delft,Eindhoven University of Technology,Economie & Business,bezig met masters,No
2024-03-22 15:02:40,zainab23@example.com,Zainab Van der Horst,Royal HaskoningDHV,Teacher,https://linkedin.com/in/zainab-van-der-horst-23,,,V6C,Verenigde Staten,Eindhoven,Vrije University Amsterdam,Gezondheidszorg & Geneeskunde,bezig met bachelors,Yes
2022-10-19 17:06:53,casper24@example.com,Casper Moore,Palantir,CTO,https://linkedin.com/in/casper-moore-24,,,V6C,Verenigde Staten,Amsterdam,Leiden University,Bèta & Techniek,bezig met masters,No
2025-04-05 18:05:59,evav25@example.com,Eva Van Veen,Heineken,Account Manager,https://linkedin.com/in/eva-van-veen-25,,,V6B,Engeland,Eindhoven,Erasmus University Rotterdam,Computer Science,bezig met masters,No
2026-12-13 04:41:30,omar.jansen26@example.com,Omar Jansen,,CFO,https://linkedin.com/in/omar-jansen-26,,,V6A,Engeland,Den Haag,Eindhoven University of Technology,Computer Science,bezig met masters,No
2024-01-31 02:11:49,jones.d27@example.com,Daniel Jones,,Nurse,,,Driven professional with expertise in urban planning. Currently nurse at a leading organization.,V6B,Verenigde Staten,Delft,Vrije University Amsterdam,Talen & Cultuur,bezig met masters,Yes
2026-08-15 20:00:52,irisd28@example.com,Iris De Groot,Spotify,Paralegal,https://linkedin.com/in/iris-de-groot-28,,Passionate paralegal with a strong background in renewable energy. Currently working at Spotify where I focus on building scalable systems.,V6C,Engeland,Twente,Delft University of Technology,Rechten,bezig met bachelors,No
2025-06-01 00:24:42,vandervelden.l29@example.com,Lisa Van der Velden,,,https://linkedin.com/in/lisa-van-der-velden-29,,,V6C,Frankrijk,Den Haag,Eindhoven University of Technology,Rechten,bezig met bachelors,No
2023-06-29 07:20:29,ahmedv30@example.com,Ahmed Van der Burg,,,,,,V6B,Frankrijk,Eindhoven,University of Twente,Economie & Business,Afgestudeert vwo/havo,No
2026-05-16 21:52:00,tess31@example.com,Tess De Haan,Tauw,Supply Chain Analyst,https://linkedin.com/in/tess-de-haan-31,,,V6B,Duitsland,Amsterdam,Eindhoven University of Technology,Economie & Business,bezig met masters,Yes
2025-04-10 12:21:51,lucas.white32@example.com,Lucas White,,,https://linkedin.com/in/lucas-white-32,https://lucaswhite32.com,"Experienced professional dedicated to empowering teams. Alumni of Eindhoven University of Technology, class of 2025.",V6A,Verenigde Staten,Den Haag,Eindhoven University of Technology,Computer Science,Afgestudeert vwo/havo,Yes
2026-08-08 18:52:25,charlotte.anderson33@example.com,Charlotte Anderson,,Supply Chain Analyst,https://linkedin.com/in/charlotte-anderson-33,,Results-oriented supply chain analyst with 2 years of experience in corporate strategy. Based in Den Haag.,V6A,Frankrijk,Den Haag,Delft University of Technology,Computer Science,bezig met bachelors,Yes
2025-12-24 03:27:28,lucas34@example.com,Lucas Jones,Shopify,,https://linkedin.com/in/lucas-jones-34,,"Ambitious professional focused on reducing environmental impact. Former student at Eindhoven University of Technology, now making an impact at Shopify.",V6C,Engeland,Den Haag,Eindhoven University of Technology,Rechten,bezig met masters,No
2024-04-10 08:01:08,lieke.vanderheijden35@example.com,Lieke Van der Heijden,Databricks,Customer Success Manager,https://linkedin.com/in/lieke-van-der-heijden-35,,,V6B,Nederland,Twente,Leiden University,Rechten,bezig met bachelors,Yes
2023-09-26 15:55:25,boaz.vanderlaan36@example.com,Boaz Van der Laan,Fugro,Compliance Officer,https://linkedin.com/in/boaz-van-der-laan-36,,,V6C,Engeland,Twente,Eindhoven University of Technology,Economie & Business,Afgestudeert vwo/havo,No
2024-10-15 12:09:12,ali37@example.com,Ali Anderson,,Partner,https://linkedin.com/in/ali-anderson-37,,,V6B,Duitsland,Delft,Erasmus University Rotterdam,Economie & Business,bezig met masters,Yes
2024-01-22 04:13:09,adam38@example.com,Adam Johnson,,Project Manager,,,,V6B,Verenigde Staten,Delft,Delft University of Technology,Computer Science,bezig met masters,Yes
2023-11-12 00:23:31,charlotte39@example.com,Charlotte De Vries,Palantir,Marketing Manager,https://linkedin.com/in/charlotte-de-vries-39,,Alumni from Eindhoven University of Technology specializing in Economie & Business. Working as marketing manager with a passion for advancing medical technology.,V6A,Nederland,Twente,Eindhoven University of Technology,Economie & Business,bezig met masters,Yes
2026-03-22 16:43:25,lynnv40@example.com,Lynn Van der Mark,,Actuary,https://linkedin.com/in/lynn-van-der-mark-40,,Alumni from Vrije University Amsterdam specializing in Economie & Business. Working as actuary with a passion for enhancing customer satisfaction.,V6B,Duitsland,Eindhoven,Vrije University Amsterdam,Economie & Business,bezig met masters,Yes
2026-08-31 17:57:46,levi.hernandez41@example.com,Levi Hernandez,Stripe,Postdoc Researcher,https://linkedin.com/in/levi-hernandez-41,https://levihernandez41.com,,V6B,Duitsland,Twente,Delft University of Technology,Computer Science,Afgestudeert vwo/havo,No
2025-09-29 17:59:26,irisv42@example.com,Iris Van Veen,,,https://linkedin.com/in/iris-van-veen-42,,,V6B,Frankrijk,Eindhoven,Leiden University,Talen & Cultuur,Afgestudeert vwo/havo,No
2026-09-19 02:07:06,jones.l43@example.com,Luuk Jones,Heineken,,,,Innovative thinker and professional with a track record in financial modeling. Alumni of University of Twente.,V6A,Nederland,Den Haag,University of Twente,Bèta & Techniek,bezig met masters,Yes
2026-05-09 01:59:34,white.f44@example.com,Floris White,,Graduate Trainee,https://linkedin.com/in/floris-white-44,,,V6A,Engeland,Delft,Eindhoven University of Technology,Gezondheidszorg & Geneeskunde,bezig met bachelors,Yes
2024-03-13 20:23:45,maas.b45@example.com,Britt Maas,,Claims Handler,https://linkedin.com/in/britt-maas-45,,Innovative thinker and claims handler with a track record in quantitative analysis. Alumni of Delft University of Technology.,V6A,Engeland,Eindhoven,Delft University of Technology,Computer Science,bezig met masters,No
2025-08-03 11:21:22,linas46@example.com,Lina Smit,KPMG,,https://linkedin.com/in/lina-smit-46,,,V6A,Nederland,Eindhoven,Erasmus University Rotterdam,Computer Science,Afgestudeert vwo/havo,No
2025-05-29 23:16:50,vanleeuwen.b47@example.com,Bram Van Leeuwen,,Aerospace Engineer,https://linkedin.com/in/bram-van-leeuwen-47,,,V6C,Duitsland,Twente,Eindhoven University of Technology,Talen & Cultuur,Afgestudeert vwo/havo,No
2026-06-23 10:07:24,boazg48@example.com,Boaz Garcia,,Investment Banker,https://linkedin.com/in/boaz-garcia-48,,Results-oriented investment banker with 1 years of experience in blockchain technology. Based in Delft.,V6B,Nederland,Delft,University of Twente,Gezondheidszorg & Geneeskunde,bezig met masters,No
2025-01-15 09:02:52,hugov49@example.com,Hugo Van den Broek,,Logistics Coordinator,https://linkedin.com/in/hugo-van-den-broek-49,,,V6A,Duitsland,Twente,University of Twente,Talen & Cultuur,bezig met bachelors,Yes
2025-06-04 08:48:47,maud.verbeek50@example.com,Maud Verbeek,,COO,,https://maudverbeek50.com,,V6A,Engeland,Den Haag,Delft University of Technology,Talen & Cultuur,bezig met bachelors,No
2024-09-26 12:33:34,lee.r51@example.com,Ruben Lee,,HR Specialist,https://linkedin.com/in/ruben-lee-51,,,V6B,Verenigde Staten,Amsterdam,Eindhoven University of Technology,Economie & Business,bezig met masters,Yes
2025-04-04 12:41:46,sophie52@example.com,Sophie Janssen,,Operations Manager,https://linkedin.com/in/sophie-janssen-52,,Innovative thinker and operations manager with a track record in product design. Alumni of Erasmus University Rotterdam.,V6B,Frankrijk,Den Haag,Erasmus University Rotterdam,Rechten,Afgestudeert vwo/havo,No
